iter	Passed	Remaining
398	315172	316752
399	316158	316158
400	317054	315473
401	317786	314624
402	318531	313789
403	319268	312946
404	320052	312149
405	320874	311390
406	321612	310549
407	322355	309713
408	323711	309465
409	324629	308793
410	325409	307991
411	326165	307165
412	327058	306468
413	327941	305761
414	328751	304985
415	329551	304201
416	330349	303414
417	331115	302598
418	331961	301855
419	332852	301152
420	333584	300305
421	334330	299471
422	335112	298670
423	335819	297802
424	336662	297054
425	337432	296243
426	338201	295431
427	338975	294623
428	339773	293836
429	340634	293103
430	341445	292327
431	342691	291922
432	343439	291091
433	344268	290328
434	345213	289662
435	345969	288836
436	346753	288035
437	347751	287411
438	348290	286407
439	349057	285592
440	350028	284943
441	350785	284120
442	351527	283284
443	352249	282434
444	353027	281628
445	353677	280721
446	354396	279870
447	355233	279112
448	356076	278358
449	356915	277601
450	357852	276919
451	358885	276310
452	359737	275560
453	360569	274795
454	361396	274025
455	362205	273242
456	363262	272645
457	364069	271860
458	364853	271057
459	365808	270380
460	366644	269615
461	367574	268918
462	368883	268496
463	369845	267818
464	370610	266998
465	371332	266148
466	372097	265328
467	373244	264780
468	373993	263948
469	374765	263133
470	375534	262316
471	376316	261507
472	377094	260697
473	377927	259924
474	378696	259107
475	379459	258287
476	380617	257734
477	381433	256948
478	382247	256161
479	382998	255332
480	383743	254499
481	384525	253690
482	385241	252839
483	386052	252050
484	386873	251268
485	387611	250431
486	388397	249626
487	389156	248805
488	389920	247986
489	390689	247170
490	391447	246348
491	392226	245540
492	392942	244692
493	393694	243867
494	394455	243048
495	395242	242245
496	395934	241384
497	397022	240764
498	397805	239958
499	398547	239128
500	399283	238295
501	400714	237874
502	401554	237100
503	402363	236308
504	403270	235573
505	404189	234845
506	405052	234083
507	405815	233263
508	406600	232457
509	407415	231667
510	408202	230862
511	408976	230049
512	409839	229286
513	410580	228455
514	411408	227672
515	412209	226875
516	412959	226049
517	413699	225218
518	414598	224474
519	415516	223739
520	416411	222991
521	417235	222205
522	418117	221450
523	419339	220873
524	420271	220142
525	421092	219352
526	421876	218543
527	422695	217752
528	423435	216920
529	424186	216094
530	425020	215311
531	425730	214465
532	426499	213649
533	427398	212898
534	428303	212150
535	429317	211455
536	430167	210678
537	431035	209909
538	432025	209199
539	432888	208427
540	433721	207641
541	434655	206902
542	435535	206137
543	436407	205368
544	437385	204648
545	438204	203853
546	439096	203092
547	439986	202329
548	440947	201598
549	441941	200882
550	442874	200137
551	444010	199482
552	444808	198675
553	445758	197935
554	447074	197357
555	447896	196558
556	448921	195849
557	449860	195100
558	450857	194376
559	451738	193602
560	452563	192803
561	453384	192002
562	454190	191195
563	454911	190353
564	455802	189581
565	457012	188941
566	457845	188144
567	458697	187355
568	459618	186593
569	460426	185786
570	461159	184948
571	461980	184146
572	462778	183334
573	463508	182496
574	464374	181711
575	465095	180870
576	466023	180109
577	466842	179306
578	467590	178475
579	468355	177652
580	469053	176803
581	469848	175991
582	470675	175191
583	471458	174375
584	472186	173538
585	473063	172757
586	473853	171943
587	474555	171098
588	475310	170272
589	476221	169502
590	477312	168795
591	478217	168022
592	478966	167194
593	479745	166376
594	480702	165620
595	481656	164862
596	482522	164073
597	483312	163259
598	484161	162464
599	485037	161679
600	485898	160888
601	486647	160060
602	487441	159247
603	488255	158440
604	489139	157656
605	489982	156859
606	490855	156071
607	492121	155406
608	492974	154610
609	493732	153785
610	495051	153133
611	495943	152348
612	496774	151544
613	497626	150746
614	498487	149951
615	499195	149110
616	500008	148300
617	500880	147508
618	501833	146739
619	502739	145956
620	503634	145170
621	504778	144454
622	505603	143646
623	506612	142890
624	507418	142077
625	508140	141240
626	508981	140436
627	509734	139608
628	510563	138801
629	511299	137969
630	512258	137197
631	513015	136371
632	513893	135576
633	515313	134924
634	516163	134121
635	517168	133357
636	517939	132534
637	518721	131712
638	519441	130876
639	520276	130069
640	521113	129262
641	521917	128447
642	522693	127625
643	523439	126795
644	524848	126126
645	525865	125361
646	526988	124620
647	527761	123795
648	528566	122979
649	529425	122175
650	530263	121365
651	531579	120665
652	532575	119890
653	533591	119119
654	534469	118317
655	535357	117517
656	536168	116700
657	536989	115885
658	537862	115081
659	538770	114284
660	540036	113562
