iter	Logloss
0	0.6654882588
5	0.6126738944
10	0.6002260247
15	0.5953314023
20	0.5924455015
25	0.5906425149
30	0.5892346168
35	0.5881233254
40	0.5871245111
45	0.5863037639
50	0.585603233
55	0.584956103
60	0.5842986539
65	0.5837622596
70	0.5832746225
75	0.5827718939
80	0.5823160523
85	0.5818873625
90	0.5814318433
95	0.580997994
100	0.5805443451
105	0.5801520943
110	0.579779256
115	0.579383845
120	0.579028678
125	0.5787374244
130	0.5784314016
135	0.5780976466
140	0.5777536371
145	0.5774572884
150	0.5771762247
155	0.5769154766
160	0.5766224816
165	0.5763643132
170	0.5761003404
175	0.5758927351
180	0.575626118
185	0.5753626611
190	0.5750877889
195	0.5748815379
200	0.5746637426
205	0.5744370472
210	0.5742551748
215	0.5740335099
220	0.5738136508
225	0.5736305531
230	0.5734188847
235	0.5732246941
240	0.5730212809
245	0.5728273482
250	0.5726720473
255	0.5724461903
260	0.5722757334
265	0.572084187
270	0.5719087641
275	0.5717438536
280	0.5715577892
285	0.5713709509
290	0.5712082977
295	0.5710123013
300	0.5708627403
305	0.5707020864
310	0.5705190533
315	0.5703476289
320	0.5701638218
325	0.5699859481
330	0.5697925314
335	0.5696360696
340	0.5694842514
345	0.5693126981
350	0.5691343084
355	0.5690276358
360	0.5688432483
365	0.5686960091
370	0.5685342588
375	0.5683481299
380	0.5681521335
385	0.5679972195
390	0.5678292134
395	0.5677047405
400	0.5675514389
405	0.5674292233
410	0.5672741804
415	0.5671193954
420	0.5669995016
425	0.5668654836
430	0.566717535
435	0.5665385004
440	0.5663898424
445	0.5662184826
450	0.5660791761
455	0.565952188
460	0.5658161062
465	0.5656697054
470	0.565530141
475	0.5653974129
480	0.5653025427
485	0.5651618173
490	0.565042246
495	0.5648886219
500	0.5647489285
505	0.5646203925
510	0.5644682518
515	0.5643345563
520	0.5641668726
525	0.5640350474
530	0.5638786502
535	0.5637494047
540	0.5636533091
545	0.56346402
550	0.5633037531
555	0.5631650271
560	0.563026817
565	0.5629055043
570	0.5628214045
575	0.5626437888
580	0.5625040954
585	0.5623926502
590	0.5622704346
595	0.5621428015
600	0.5620237461
605	0.5618966934
610	0.561802984
615	0.5616885722
620	0.5615828025
625	0.5614507838
630	0.5613225703
635	0.561212415
640	0.5611063873
645	0.5610147417
650	0.5608962667
655	0.5607995906
660	0.5606615096
665	0.5605431636
670	0.5604214639
675	0.560297765
680	0.5601861263
685	0.5600522373
690	0.5599206701
695	0.5597981965
700	0.5596666293
705	0.5595170039
710	0.5593729894
715	0.559243357
720	0.5590938606
725	0.5589714515
730	0.5588337574
735	0.5587679738
740	0.5586362131
745	0.5585006473
750	0.5583455398
755	0.558236352
760	0.5580865975
765	0.557974056
770	0.5578342981
775	0.557731882
780	0.5575920596
785	0.5574627497
790	0.5573472414
795	0.5572187699
800	0.5571295106
805	0.5569838838
810	0.5568588949
815	0.5567071412
820	0.5565731232
825	0.5564411046
830	0.5563477822
835	0.5562160215
840	0.5560651062
845	0.5559708808
850	0.555876204
855	0.5557688865
860	0.5556486057
865	0.5555668276
870	0.555429327
875	0.5552883437
880	0.5551922481
885	0.555074547
890	0.5549623924
895	0.5548457878
899	0.5547786498
